2024/11/10 23:19:11 [error] 3732#12052: *17570 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_task_list_reminder_bar_hidden&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "pharmacy.local", referrer: "http://pharmacy.local/wp-admin/post.php?post=93&action=edit"
2024/11/10 23:19:13 [error] 3732#12052: *17541 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wc-admin/options?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "pharmacy.local", referrer: "http://pharmacy.local/wp-admin/post.php?post=93&action=edit"
2024/11/10 23:19:13 [error] 3732#12052: *17573 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=product HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "pharmacy.local", referrer: "http://pharmacy.local/wp-admin/post.php?post=93&action=edit"
2024/11/10 23:19:13 [error] 3732#12052: *17573 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=product HTTP/1.1", upstream: "fastcgi://php", host: "pharmacy.local", referrer: "http://pharmacy.local/wp-admin/post.php?post=93&action=edit"
2024/11/10 23:19:13 [error] 3732#12052: *17568 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wc-admin/options?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "pharmacy.local", referrer: "http://pharmacy.local/wp-admin/post.php?post=93&action=edit"
2024/11/10 23:19:13 [error] 3732#12052: *17570 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_task_list_reminder_bar_hidden&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "pharmacy.local", referrer: "http://pharmacy.local/wp-admin/post.php?post=93&action=edit"
2024/11/10 23:19:13 [error] 3732#12052: *17575 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "pharmacy.local", referrer: "http://pharmacy.local/wp-admin/post.php?post=93&action=edit"
2024/11/10 23:19:15 [error] 3732#12052: *17576 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=93&action=edit HTTP/1.1", upstream: "fastcgi://php", host: "pharmacy.local", referrer: "http://pharmacy.local/wp-admin/post-new.php?post_type=product&wp-post-new-reload=true"
2024/11/10 23:19:18 [error] 3732#12052: *17577 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=93&action=edit HTTP/1.1", upstream: "fastcgi://php", host: "pharmacy.local", referrer: "http://pharmacy.local/wp-admin/post-new.php?post_type=product&wp-post-new-reload=true"
2024/11/10 23:19:18 [error] 3732#12052: *17578 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "pharmacy.local", referrer: "http://pharmacy.local/wp-admin/post.php?post=93&action=edit"
2024/11/10 23:19:19 [error] 3732#12052: *17579 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=93&action=edit HTTP/1.1", upstream: "fastcgi://php", host: "pharmacy.local", referrer: "http://pharmacy.local/wp-admin/post-new.php?post_type=product&wp-post-new-reload=true"
2024/11/10 23:19:19 [error] 3732#12052: *17580 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "pharmacy.local", referrer: "http://pharmacy.local/wp-admin/post.php?post=93&action=edit"
2024/11/10 23:19:20 [error] 3732#12052: *17581 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post-new.php?post_type=product&wp-post-new-reload=true HTTP/1.1", upstream: "fastcgi://php", host: "pharmacy.local", referrer: "http://pharmacy.local/wp-admin/edit.php?post_type=product"
2024/11/10 23:19:20 [error] 3732#12052: *17582 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "pharmacy.local", referrer: "http://pharmacy.local/wp-admin/post-new.php?post_type=product&wp-post-new-reload=true"
